saleprice,age,neighborhood_order,local_conditions,was_remodeled,overall_qual,house_style_order_1.5,house_style_order_2.0,exter_qual,exterior_1n2,bldg_type_duplex,bldg_type_twnhs,bldg_type_twnhse,bldg_type_2fmcon,roof_style_hip,residential,functional,lot_frontage,lot_area,outside_porch_sf,garage_fin_area,garage_cars,paved_drive,bsmt_qual,bsmtfin_type_sf,bsmt_exposure,heating_qc,kitchen_qual,fireplace_qu,all_floors_sf,totrms_abvgrd,room_size,all_baths,gr_liv_area
211000,11,3,2,1,7,0,1,4,10,0,0,0,0,0,1,6,85.0,15295,257,1216.0,2.0,2,4,4572.0,2,5,4,3,1992,7,284.57142857142856,3.5,1992
184000,15,3,1,0,7,0,1,4,10,0,0,0,0,0,1,8,70.0,9109,172,990.0,2.0,2,4,3648.0,1,5,4,0,1540,6,256.6666666666667,3.5,1540
118858,30,3,2,0,5,0,0,3,6,1,0,0,0,0,1,8,64.0,7018,0,400.0,2.0,2,0,0.0,0,3,3,0,1535,8,191.875,2.0,1535
180500,46,2,2,0,5,0,0,3,6,0,0,0,0,1,1,8,80.0,14112,227,968.0,2.0,2,3,6084.0,3,3,3,4,1152,6,192.0,2.0,1152
166000,1,4,2,1,8,0,0,4,10,0,0,1,0,0,1,8,80.0,3523,60,1452.0,2.0,2,4,360.0,1,5,4,0,1151,5,230.2,3.0,1151
148000,49,1,2,0,6,0,0,3,6,0,0,0,0,1,1,8,88.0,15312,140,960.0,2.0,2,3,2352.0,3,5,3,3,1138,6,189.66666666666666,1.5,1138
124000,51,2,2,0,5,0,0,3,6,0,0,0,0,1,1,7,74.0,7450,72,396.0,2.0,2,3,1726.0,1,4,4,4,1074,6,179.0,1.0,1074
277500,2,4,2,0,9,0,0,5,6,0,0,1,0,1,1,8,60.0,7313,250,1668.0,2.0,2,5,6918.0,1,5,5,4,1561,6,260.1666666666667,3.0,1561
350000,11,4,2,0,8,0,1,4,10,0,0,0,0,1,1,8,83.0,10019,644,1450.0,3.0,2,4,2635.0,1,5,4,5,2726,9,302.8888888888889,2.5,2726
387000,4,4,2,0,9,0,0,5,10,0,0,0,0,1,1,8,53.0,15401,290,2010.0,3.0,2,5,8022.0,4,5,5,4,1884,7,269.14285714285717,3.0,1884
86000,87,1,2,1,4,0,0,3,6,0,0,0,0,0,1,8,58.0,9098,144,0.0,0.0,0,3,1740.0,2,5,3,0,605,5,121.0,2.0,605
290000,32,4,2,1,8,0,0,5,10,0,0,0,0,0,1,8,103.0,16280,370,1100.0,2.0,2,4,7410.0,2,5,5,4,1671,6,278.5,4.0,1671
44000,109,1,2,1,3,0,0,3,2,0,0,0,0,0,0,8,72.0,9392,130,0.0,0.0,0,2,0.0,1,3,3,0,797,5,159.4,1.0,797
215000,8,2,2,1,6,0,1,3,10,0,0,0,0,0,1,8,71.0,12209,317,1680.0,2.0,2,5,3450.0,1,5,4,3,1961,7,280.14285714285717,3.5,1961
146500,34,3,0,0,5,0,0,3,8,0,0,0,1,0,1,8,79.0,13110,293,1503.0,2.0,2,4,5772.0,1,5,3,0,1193,6,198.83333333333334,3.0,1193
165000,6,4,2,0,7,0,1,4,6,0,1,0,0,0,1,8,65.0,2651,203,490.0,2.0,2,4,3846.0,1,5,4,0,1382,6,230.33333333333334,3.5,1382
136000,91,2,1,1,6,1,0,3,4,0,0,0,0,0,1,8,60.0,8520,103,216.0,1.0,2,3,1596.0,1,3,4,4,2526,10,252.6,2.0,2526
252000,49,2,2,0,6,0,0,3,6,0,0,0,0,0,1,7,61.5,39384,189,550.0,2.0,2,4,5550.0,4,5,5,4,1390,4,347.5,2.5,1390
175500,7,4,2,0,7,0,1,4,8,0,1,0,0,0,1,8,36.0,2628,27,948.0,2.0,2,4,0.0,1,5,4,0,1626,6,271.0,2.5,1626
150000,70,2,2,1,5,0,1,3,6,0,0,0,0,0,1,8,57.0,6406,218,400.0,2.0,2,3,2105.0,1,3,3,4,1558,7,222.57142857142858,1.5,1558
139900,47,2,2,1,5,0,0,3,6,0,0,0,0,1,1,7,72.0,12342,36,572.0,1.0,2,3,0.0,1,3,3,3,1422,6,237.0,1.0,1422
162900,78,2,2,1,5,1,0,3,6,0,0,0,0,0,1,8,52.0,6240,0,360.0,2.0,1,3,0.0,1,3,3,4,1573,8,196.625,2.0,1573
160000,48,2,2,0,6,0,0,3,6,0,0,0,0,1,1,8,87.0,10000,385,440.0,2.0,2,3,0.0,1,3,3,0,1116,5,223.2,1.5,1116
63900,62,1,2,1,2,0,0,3,6,0,0,0,0,0,1,6,80.0,9000,100,0.0,0.0,0,0,0.0,0,2,2,0,660,5,132.0,1.0,660
184000,31,3,2,1,6,0,0,3,6,0,0,0,0,0,1,8,80.0,11088,0,1437.0,2.0,2,3,4160.0,1,4,3,3,1707,7,243.85714285714286,2.0,1707
149900,47,1,2,0,5,0,0,3,7,0,0,0,0,0,1,8,134.0,17755,240,1584.0,2.0,2,3,704.0,1,3,2,4,1466,6,244.33333333333334,1.5,1466
300000,8,4,2,0,9,0,0,4,6,0,0,1,0,1,1,8,72.0,4765,298,1485.0,2.0,2,4,6162.0,3,5,5,3,1638,5,327.6,3.0,1638
145000,48,2,2,0,5,0,0,3,8,0,0,0,0,0,1,5,89.0,10532,134,626.0,2.0,2,3,2964.0,2,4,3,3,1721,7,245.85714285714286,3.0,1721
231500,12,3,2,0,6,0,1,3,10,0,0,0,0,0,1,8,65.0,15426,375,940.0,2.0,2,4,4926.0,1,5,4,0,1764,7,252.0,3.5,1764
108000,68,1,2,1,5,0,0,3,6,0,0,0,0,0,1,8,63.0,13907,144,0.0,0.0,2,3,1160.0,1,5,3,4,996,6,166.0,2.0,996
120000,53,2,2,0,5,0,0,3,10,0,0,0,0,0,1,8,70.0,8750,155,608.0,1.0,2,3,2113.0,1,3,3,0,1202,6,200.33333333333334,1.5,1202
128500,46,1,2,0,5,0,0,3,6,0,0,0,0,1,1,8,70.0,9945,0,572.0,2.0,2,3,2481.0,1,3,3,0,988,5,197.6,2.0,988
115000,83,2,1,1,5,0,0,3,6,0,0,0,0,0,1,8,56.0,8960,130,360.0,2.0,2,3,0.0,1,4,3,4,1028,5,205.6,1.0,1028
110000,62,2,2,1,5,1,0,3,2,0,0,0,0,0,1,8,50.0,3500,35,240.0,1.0,2,3,624.0,1,3,3,0,1284,5,256.8,1.5,1284
150000,31,4,2,0,9,0,1,4,6,0,0,0,0,0,1,8,30.0,24572,226,1728.0,3.0,2,4,2460.0,1,3,4,4,2944,9,327.1111111111111,3.0,2944
178000,2,2,2,0,8,0,1,4,10,0,0,0,0,0,1,8,74.0,9056,135,1209.0,2.0,2,5,0.0,3,5,4,4,1414,6,235.66666666666666,2.5,1414
199500,74,3,2,1,7,0,1,3,6,0,0,0,0,0,1,8,70.0,12320,104,579.0,3.0,2,3,0.0,1,5,4,4,1609,8,201.125,1.5,1609
183500,9,2,2,1,6,0,1,3,10,0,0,0,0,0,1,8,60.0,8238,493,1200.0,2.0,2,3,4200.0,1,5,3,3,1525,6,254.16666666666666,3.5,1525
126000,41,1,2,0,5,0,0,2,7,0,0,0,0,1,1,5,75.0,6000,280,288.0,1.0,2,4,771.0,2,5,3,1,1656,7,236.57142857142858,1.5,1656
148500,31,2,2,0,7,0,0,3,6,0,1,0,0,0,1,8,24.0,2529,38,440.0,2.0,2,4,1890.0,1,2,3,0,1055,4,263.75,2.0,1055
149000,70,2,2,1,5,0,1,3,10,0,0,0,0,0,1,8,60.0,10800,315,720.0,2.0,2,3,0.0,1,5,4,0,1352,7,193.14285714285714,2.5,1352
137900,32,2,2,0,6,0,1,3,6,0,1,0,0,0,1,8,24.0,2349,28,440.0,2.0,2,4,1945.0,1,3,3,3,1456,6,242.66666666666666,2.5,1456
324000,15,4,2,0,8,0,0,4,10,0,0,1,0,0,1,8,32.0,10846,152,1419.0,2.0,2,4,9714.0,4,5,4,4,1719,6,286.5,3.5,1719
98000,83,1,2,1,5,0,0,3,4,0,0,0,0,0,1,8,67.0,5604,96,0.0,0.0,2,3,1404.0,1,3,3,0,864,5,172.8,2.0,864
103400,35,1,2,0,6,0,1,3,6,0,1,0,0,0,1,8,21.0,1680,52,264.0,1.0,2,3,916.0,1,3,3,0,987,5,197.4,2.0,987
94000,135,1,1,1,5,1,0,3,10,0,0,0,0,0,1,8,54.0,6342,176,0.0,0.0,0,3,0.0,1,4,3,0,1020,6,170.0,1.0,1020
209500,1,4,2,0,8,0,0,4,10,0,1,0,0,0,1,8,34.0,4590,229,1254.0,2.0,2,4,144.0,2,5,4,4,1554,6,259.0,2.0,1554
159900,98,2,2,1,6,0,1,4,6,0,0,0,0,0,1,8,60.0,12900,512,0.0,0.0,0,3,0.0,1,5,4,0,1560,7,222.85714285714286,1.5,1560
141000,59,2,2,0,4,0,0,3,10,0,0,0,0,0,1,8,140.0,19138,0,400.0,2.0,2,3,240.0,1,5,3,0,864,4,216.0,1.0,864
215000,6,2,2,0,6,0,1,3,10,0,0,0,0,0,1,8,63.0,8658,0,1293.0,2.0,2,4,3660.0,1,5,3,3,1889,9,209.88888888888889,2.5,1889
127000,48,1,2,1,5,0,0,3,6,0,0,0,0,0,1,8,80.0,6897,104,260.0,1.0,2,3,3295.0,1,5,3,0,1040,6,173.33333333333334,2.5,1040
128000,56,1,2,1,5,0,0,3,6,0,0,0,0,0,1,8,75.0,9525,240,1098.0,1.0,2,3,3816.0,3,3,3,0,1172,5,234.4,2.0,1172
267916,0,4,2,0,8,0,0,4,10,0,0,0,0,0,1,8,57.0,12853,576,1704.0,3.0,2,5,6192.0,1,5,4,4,1418,6,236.33333333333334,2.5,1418
127500,76,2,2,1,6,1,0,3,6,0,0,0,0,0,1,8,52.0,6240,120,560.0,1.0,2,3,850.0,1,3,3,4,1367,6,227.83333333333334,1.0,1367
198500,6,1,2,0,7,1,0,4,6,0,0,0,0,0,1,8,64.0,7301,177,1344.0,2.0,2,0,0.0,0,5,4,5,1922,7,274.57142857142856,3.0,1922
175500,27,3,2,0,6,0,0,3,6,0,0,0,0,0,1,8,78.0,12090,276,1728.0,2.0,2,4,3984.0,1,3,4,3,1422,7,203.14285714285714,2.0,1422
217500,7,3,2,0,7,0,1,4,10,0,0,0,0,0,1,8,70.0,8826,289,1458.0,2.0,2,4,5046.0,1,5,4,3,1842,7,263.14285714285717,3.5,1842
149500,95,2,2,1,4,1,0,3,6,0,0,0,0,0,1,8,57.0,8094,524,572.0,2.0,2,3,0.0,1,5,3,3,1962,9,218.0,1.5,1962
148800,43,2,2,1,5,0,0,4,6,0,0,0,0,1,1,8,72.0,10710,162,1312.0,2.0,2,3,2576.0,1,5,3,3,1120,5,224.0,1.5,1120
156500,52,2,2,0,6,0,0,3,10,0,0,0,0,1,1,8,70.0,8400,330,884.0,2.0,2,3,2928.0,1,4,3,4,1478,6,246.33333333333334,2.5,1478
237000,11,3,2,1,7,0,1,4,10,0,0,0,0,0,1,8,90.0,11250,445,1220.0,2.0,2,4,4110.0,3,5,4,3,1995,8,249.375,3.5,1995
120000,49,2,2,1,5,0,0,3,6,0,0,0,0,0,1,8,70.0,7535,297,891.0,1.0,2,3,1002.0,1,2,3,0,912,5,182.4,1.5,912
203000,2,2,2,0,6,0,0,3,10,0,0,0,0,0,1,8,88.0,12216,143,1164.0,2.0,2,4,5508.0,3,5,4,0,1326,6,221.0,3.0,1326
130000,19,4,2,0,8,0,0,3,6,0,0,1,0,0,1,8,30.0,3701,190,922.0,2.0,2,4,0.0,1,3,3,0,1204,5,240.8,2.0,1204
167900,44,2,2,0,6,0,1,3,6,0,0,0,0,0,1,8,80.0,9760,645,884.0,2.0,2,3,4256.0,4,3,3,0,1611,7,230.14285714285714,2.5,1611
129000,36,2,1,0,4,0,0,3,6,0,0,0,1,0,1,8,60.0,9873,288,576.0,2.0,2,3,3945.0,3,3,3,0,960,6,160.0,2.0,960
